seed,level,arm,settle,stage_at_call,phase_at_call,elapsed_at_call,already_green,latency_relay,latency_fixed,green_hold_relay,level_name
10158,0.6,S,49.23,GREEN,NS,24.0,1,0.270457355809107,20.270457355809107,79.5,light
10159,0.6,N,134.74,GREEN,NS,18.0,1,0.2607047810928691,4.760704781092869,77.5,light
10160,0.6,S,92.03,GREEN,NS,14.0,1,0.4699511939262493,12.46995119392625,77.5,light
10161,0.6,W,151.17,YELLOW,NS,0.0,0,4.825273885738625,5.825273885738625,72.0,light
10162,0.6,W,155.73,GREEN,NS,2.0,0,7.7721551024090445,1.2721551024090445,69.0,light
10163,0.6,N,104.18,YELLOW,EW,0.0,0,4.823046260157824,0.3230462601578239,86.0,light
10164,0.6,S,46.83,YELLOW,EW,0.5,0,4.168689384242619,0.1686893842426187,73.5,light
10165,0.6,N,73.97,GREEN,NS,41.0,1,0.0263492782690804,0.0263492782690804,77.5,light
10166,0.6,S,150.71,GREEN,EW,0.0,0,6.787597238763624,0.28759723876362386,71.0,light
10167,0.6,N,129.06,ALLRED,EW,0.5,0,1.4366492823198769,10.436649282319877,78.5,light
10168,0.6,N,95.65,YELLOW,EW,2.0,0,2.8506247210971623,8.850624721097162,75.0,light
10169,0.6,W,154.64,YELLOW,NS,0.0,0,4.86327306668872,2.36327306668872,72.0,light
10170,0.6,W,142.14,ALLRED,NS,1.0,0,0.8579167035892965,14.857916703589297,76.0,light
10171,0.6,S,72.74,GREEN,NS,15.5,1,0.25703552004262065,0.25703552004262065,76.5,light
10172,0.6,N,81.41,GREEN,EW,0.5,0,6.090193091714525,0.09019309171452505,70.5,light
10173,0.6,E,81.42,YELLOW,NS,0.0,0,4.584679398592002,5.584679398592002,72.0,light
10174,0.6,E,44.9,ALLRED,EW,0.0,0,10.095337023236922,7.095337023236922,66.5,light
10175,0.6,S,68.78,YELLOW,EW,2.5,0,2.2210113209970643,0.7210113209970643,75.5,light
10176,0.6,E,99.77,GREEN,EW,1.5,1,0.2315711142903325,22.231571114290333,76.5,light
10177,0.6,N,103.41,GREEN,NS,26.0,1,0.08741691729764511,1.0874169172976451,79.5,light
10178,0.6,N,45.67,GREEN,NS,22.5,1,0.32568289015224394,0.32568289015224394,79.5,light
10179,0.6,N,62.32,YELLOW,EW,1.0,0,3.6755025721276127,7.175502572127613,73.0,light
10180,0.6,N,135.72,ALLRED,EW,0.0,0,1.7771703192996142,3.777170319299614,76.0,light
10181,0.6,S,62.63,GREEN,NS,14.5,1,0.3711274353620553,6.871127435362055,76.5,light
10182,0.6,N,156.79,YELLOW,EW,0.0,0,4.705520215439833,17.705520215439833,73.0,light
10183,0.6,N,130.99,GREEN,NS,7.5,1,0.011908964844252523,8.511908964844253,76.5,light
10184,0.6,W,118.3,YELLOW,NS,0.0,0,4.7031167426294616,3.7031167426294616,72.0,light
10185,0.6,W,142.4,GREEN,NS,3.0,0,5.596608902919485,14.596608902919485,71.0,light
10186,0.6,E,77.05,YELLOW,NS,0.0,0,4.948699351662029,9.948699351662029,72.0,light
10187,0.6,W,152.05,YELLOW,NS,0.0,0,4.953688599923083,4.953688599923083,72.0,light
10188,0.6,E,65.02,YELLOW,NS,0.0,0,4.98104395446623,21.98104395446623,72.0,light
10189,0.6,N,138.96,GREEN,NS,6.0,1,0.03752161223519579,0.5375216122351958,77.5,light
10190,0.6,E,133.48,YELLOW,NS,1.0,0,3.52384260330237,0.02384260330236998,73.0,light
10191,0.6,W,73.01,GREEN,NS,0.5,0,9.491511382182608,13.991511382182608,67.5,light
10192,0.6,W,62.8,YELLOW,NS,0.0,0,4.698540318976313,0.1985403189763133,72.0,light
10193,0.6,N,49.55,GREEN,NS,5.0,1,0.4461128520675004,19.9461128520675,76.5,light
10194,0.6,W,63.37,GREEN,NS,2.0,0,7.631899220372716,0.13189922037271629,69.0,light
10195,0.6,W,90.4,GREEN,EW,3.0,1,0.10411932214161368,0.10411932214161368,76.5,light
10196,0.6,S,92.14,YELLOW,EW,0.5,0,4.35615110105563,12.35615110105563,73.5,light
10197,0.6,N,53.5,GREEN,EW,1.5,0,5.499713249407989,15.99971324940799,71.5,light
10198,0.6,W,128.46,YELLOW,NS,1.0,0,3.5426631328757594,0.0426631328757594,73.0,light
10199,0.6,W,98.85,ALLRED,NS,0.5,0,1.1516561225219277,0.15165612252192773,75.5,light
10200,0.6,S,130.28,GREEN,NS,0.5,1,0.22291052126925592,9.222910521269256,79.5,light
10201,0.6,N,90.69,GREEN,EW,1.0,0,5.809940338161709,13.80994033816171,72.0,light
10202,0.6,E,95.62,GREEN,EW,4.0,1,0.37974476819448455,0.37974476819448455,76.5,light
10203,0.6,N,43.38,GREEN,EW,1.5,0,5.124265659833867,0.12426565983386695,74.5,light
10204,0.6,W,150.05,GREEN,EW,2.0,1,0.44949706416724666,6.949497064167247,76.5,light
10205,0.6,S,125.5,GREEN,NS,29.0,1,0.003084262590249409,14.00308426259025,77.5,light
10206,0.6,N,52.59,YELLOW,NS,1.0,0,10.406223303643415,16.906223303643415,66.5,light
10207,0.6,W,131.83,YELLOW,NS,0.0,0,4.67403181574349,0.17403181574348991,72.0,light
10208,0.6,W,71.67,YELLOW,NS,0.0,0,4.826729852719069,15.326729852719069,72.0,light
10209,0.6,E,59.87,YELLOW,NS,0.0,0,4.634357995904551,0.13435799590455133,72.0,light
10210,0.6,S,55.95,GREEN,NS,30.0,1,0.04938025676545266,13.549380256765453,76.5,light
10211,0.6,E,110.31,YELLOW,NS,0.0,0,4.69296774893985,11.69296774893985,72.0,light
10212,0.6,W,131.8,YELLOW,NS,0.0,0,4.702234795766714,0.20223479576671366,72.0,light
10213,0.6,S,79.15,GREEN,NS,5.5,1,0.354049359335292,0.354049359335292,77.5,light
10214,0.6,W,120.17,GREEN,EW,1.0,1,0.3347041091205796,1.8347041091205796,76.5,light
10215,0.6,W,119.53,ALLRED,NS,0.0,0,1.9732896808655482,2.4732896808655482,75.0,light
10216,0.6,W,119.88,YELLOW,NS,0.0,0,4.62143793047332,2.12143793047332,72.0,light
10217,0.6,S,138.24,GREEN,EW,1.5,0,5.257632723799588,1.2576327237995883,71.5,light
10218,0.6,N,89.66,GREEN,NS,1.5,1,0.3417724485565259,14.841772448556526,76.5,light
10219,0.6,S,139.62,ALLRED,EW,0.5,0,1.3846448498463815,0.3846448498463815,76.5,light
10220,0.6,S,137.07,GREEN,NS,24.5,1,0.42566680227463394,2.425666802274634,77.5,light
10221,0.6,N,66.24,GREEN,NS,5.5,1,0.2641692299434908,3.264169229943491,79.5,light
10222,0.6,E,157.66,GREEN,NS,1.5,0,5.344233962373892,0.3442339623738917,71.5,light
10223,0.6,E,120.22,YELLOW,NS,0.0,0,4.779316020995225,1.7793160209952248,72.0,light
10224,0.6,N,76.92,ALLRED,NS,0.0,0,8.083352837954635,0.0833528379546351,69.5,light
10225,0.6,N,43.58,GREEN,NS,11.0,1,0.4235973340590462,0.4235973340590462,77.5,light
10226,0.6,E,101.78,YELLOW,NS,2.0,0,2.72230308508486,20.22230308508486,74.0,light
10227,0.6,E,42.03,GREEN,NS,2.0,0,6.974980108169582,9.974980108169582,70.0,light
10228,0.6,E,132.79,GREEN,NS,0.0,0,7.210300100043185,0.21030010004318456,69.5,light
10229,0.6,E,79.8,YELLOW,EW,2.5,0,10.697148156953546,7.197148156953546,66.0,light
10230,0.6,W,150.28,GREEN,NS,0.5,0,8.223426438305125,6.723426438305125,68.5,light
10231,0.6,N,92.12,YELLOW,EW,0.0,0,4.875680468992229,12.375680468992229,75.0,light
10232,0.6,N,75.31,GREEN,NS,1.5,1,0.19483529519672516,0.19483529519672516,76.5,light
10233,0.6,E,129.15,YELLOW,NS,0.0,0,4.8502024661303835,0.3502024661303835,72.0,light
10234,0.6,E,107.42,YELLOW,EW,1.5,0,9.58287901691493,14.58287901691493,67.0,light
10235,0.6,S,77.58,GREEN,NS,8.5,1,0.415932523656636,0.415932523656636,77.5,light
10236,0.6,N,44.28,GREEN,EW,0.0,0,6.722676802442827,0.22267680244282673,71.0,light
10237,0.6,S,89.77,YELLOW,EW,2.0,0,2.733542033041374,14.733542033041374,75.0,light
10238,0.6,E,101.37,YELLOW,NS,0.0,0,4.631407306750873,20.631407306750873,72.0,light
10239,0.6,S,64.26,GREEN,NS,26.5,1,0.24359771934054208,5.243597719340542,79.5,light
10240,0.6,S,54.29,YELLOW,EW,0.5,0,4.208412632414721,15.20841263241472,72.5,light
10241,0.6,E,84.48,GREEN,EW,12.5,1,0.02312014092385084,2.523120140923851,76.5,light
10242,0.6,N,75.38,GREEN,NS,33.5,1,0.12224913735946075,0.12224913735946075,77.5,light
10243,0.6,S,89.37,GREEN,NS,16.0,1,0.12665117687780025,15.1266511768778,76.5,light
10244,0.6,S,48.91,YELLOW,EW,0.0,0,4.590840010290805,20.590840010290805,72.5,light
10245,0.6,N,92.83,YELLOW,NS,1.5,0,11.17429974741458,11.67429974741458,66.5,light
10246,0.6,W,131.83,YELLOW,NS,0.0,0,4.667344025725129,0.16734402572512863,72.0,light
10247,0.6,N,138.66,ALLRED,NS,1.0,0,7.340713911216767,0.840713911216767,69.5,light
10248,0.6,N,118.99,GREEN,NS,22.5,1,0.008605315132427904,20.508605315132428,76.5,light
10249,0.6,N,77.98,ALLRED,EW,0.0,0,1.5192418806904868,0.019241880690486823,76.0,light
10250,0.6,S,74.51,GREEN,NS,13.0,1,0.48806468239379797,0.48806468239379797,79.5,light
10251,0.6,N,51.96,GREEN,NS,14.5,1,0.04071664283085141,17.54071664283085,76.5,light
10252,0.6,S,141.57,GREEN,NS,42.0,1,0.4292567325758512,0.4292567325758512,76.5,light
10253,0.6,E,158.81,YELLOW,EW,0.5,0,10.689609673001769,0.1896096730017689,66.0,light
10254,0.6,W,105.01,YELLOW,NS,0.0,0,4.985333376650033,16.985333376650033,72.0,light
10255,0.6,W,66.43,ALLRED,EW,1.0,0,9.074359158344109,20.57435915834411,67.5,light
10256,0.6,W,48.38,YELLOW,EW,2.0,0,11.118662540124554,3.6186625401245536,65.5,light
10257,0.6,W,86.55,YELLOW,NS,0.0,0,4.9527754603980725,0.4527754603980725,72.0,light
10258,0.6,S,69.45,GREEN,NS,50.0,1,0.045365273734390144,0.045365273734390144,77.5,light
10259,0.6,W,54.2,YELLOW,EW,1.0,0,10.301903126898608,0.3019031268986083,66.5,light
10260,0.6,W,115.04,YELLOW,NS,0.0,0,4.956560237962179,6.956560237962179,72.0,light
10261,0.6,S,54.26,GREEN,EW,1.5,0,5.2396304628431665,15.239630462843166,72.5,light
10262,0.6,N,47.42,YELLOW,EW,0.0,0,4.580149219417613,22.080149219417613,73.0,light
10263,0.6,E,90.62,YELLOW,NS,0.0,0,4.884184518773793,0.3841845187737931,72.0,light
10264,0.6,E,59.01,GREEN,EW,1.5,1,0.4914316031146342,0.4914316031146342,76.5,light
10265,0.6,E,83.81,YELLOW,NS,0.0,0,4.693559408793149,3.193559408793149,72.0,light
10266,0.6,N,67.1,GREEN,NS,49.5,1,0.39541712903120185,2.395417129031202,77.5,light
10267,0.6,S,46.35,YELLOW,NS,0.5,0,12.646051628608745,0.14605162860874543,67.0,light
10268,0.6,E,138.2,GREEN,EW,11.5,1,0.3039912070900641,18.803991207090064,76.5,light
10269,0.6,E,153.74,YELLOW,NS,1.5,0,3.2592143004401635,3.2592143004401635,73.5,light
10270,0.6,W,84.98,YELLOW,NS,0.0,0,4.517212238946001,2.0172122389460014,72.0,light
10271,0.6,E,71.2,YELLOW,NS,0.0,0,4.797879428546281,15.797879428546281,72.0,light
