level,entering_vph,seed,policy,mean_delay,p50_delay,p95_delay,max_delay,mean_through_travel,p95_through_travel,mean_stops,mean_network_queue,max_network_queue,throughput_vph,residual,amb_corridor_time,amb_total_wait
1.0,1281.6,12,fixed_coord,28.0761,25.1,58.6,95.6,36.6332,55.5,1.7946,9.6925,22,1209.6,18,31.5,17.1
1.0,1281.6,13,relay_coupled,16.0647,15.1,31.6,52.8,29.1699,42.5,1.6194,6.0335,18,1371.6,5,34.0,19.6
1.0,1281.6,13,relay_isolated,16.0816,15.1,31.6,52.8,29.169,42.5,1.6444,6.0412,18,1371.6,5,34.0,19.6
1.0,1281.6,13,fixed_webster,31.1423,30.1,57.3,113.8,41.9921,59.0,2.1693,11.898,31,1360.8,15,55.0,40.6
1.0,1281.6,13,fixed_coord,32.0239,28.6,72.1,123.1,39.1836,55.5,1.873,12.248,28,1346.4,19,31.5,17.1
1.0,1281.6,14,relay_coupled,15.3891,14.1,29.8,66.3,28.184,42.5,1.5354,5.213,19,1247.4,3,19.5,5.1
1.0,1281.6,14,relay_isolated,15.6757,14.6,29.8,62.8,28.4513,42.0,1.557,5.3128,22,1247.4,3,19.5,5.1
1.0,1281.6,14,fixed_webster,31.0891,30.1,54.3,101.3,42.7007,60.5,2.157,10.7713,25,1238.4,7,55.0,40.6
1.0,1281.6,14,fixed_coord,29.656,27.1,62.8,117.8,38.105,55.0,1.8219,10.311,25,1233.0,11,31.5,17.1
1.0,1281.6,15,relay_coupled,16.2554,15.1,29.1,51.8,29.5153,42.0,1.6934,5.4675,16,1233.0,3,24.0,9.6
1.0,1281.6,15,relay_isolated,16.3811,15.1,29.6,51.8,29.5915,42.0,1.6964,5.5107,16,1233.0,3,24.0,9.6
1.0,1281.6,15,fixed_webster,30.5454,29.6,55.6,107.8,41.6047,61.0,2.0514,10.6088,22,1225.8,10,56.0,41.6
1.0,1281.6,15,fixed_coord,29.4761,27.6,60.6,108.1,37.4525,55.5,1.7537,10.1952,21,1213.2,15,31.5,17.1
1.0,1281.6,16,relay_coupled,14.9077,13.8,29.1,66.3,28.3449,41.5,1.5158,4.8537,15,1193.4,8,26.0,11.6
