profile,level,total_demand_vph,seed,policy,mean_wait,p50_wait,p95_wait,max_wait,mean_queue,max_queue,throughput_vph,residual_queue,n_vehicles
asymmetric,0.8,1022.4,8,relay,6.1648,5.0,14.5,26.0,1.83,8,1070.4,1,443
asymmetric,0.8,1022.4,8,fixed_equal,12.605,12.5,24.0,37.5,3.754,12,1065.6,2,443
asymmetric,0.8,1022.4,8,fixed_webster,9.7562,8.0,27.5,49.5,2.9,12,1070.4,3,443
asymmetric,0.8,1022.4,9,relay,5.7733,5.5,13.0,19.5,1.5783,8,976.8,4,408
asymmetric,0.8,1022.4,9,fixed_equal,11.4375,10.5,23.5,28.5,3.134,11,969.6,7,408
asymmetric,0.8,1022.4,9,fixed_webster,8.2819,6.5,23.5,38.5,2.27,8,974.4,6,408
asymmetric,0.8,1022.4,10,relay,5.9287,5.5,14.0,22.5,1.6403,8,986.4,4,414
asymmetric,0.8,1022.4,10,fixed_equal,12.2935,12.5,23.5,32.5,3.4037,12,988.8,3,414
asymmetric,0.8,1022.4,10,fixed_webster,9.5688,7.0,26.5,48.0,2.6493,11,993.6,2,414
asymmetric,0.8,1022.4,11,relay,5.903,5.0,14.5,21.5,1.7243,9,1041.6,2,433
asymmetric,0.8,1022.4,11,fixed_equal,11.7309,12.5,23.5,28.0,3.4077,12,1039.2,2,433
asymmetric,0.8,1022.4,11,fixed_webster,8.6559,6.0,24.5,44.0,2.5143,9,1048.8,0,433
asymmetric,0.8,1022.4,12,relay,6.2408,6.0,14.0,25.5,1.807,8,1041.6,2,434
asymmetric,0.8,1022.4,12,fixed_equal,11.3756,10.5,23.5,29.5,3.3247,13,1041.6,3,434
asymmetric,0.8,1022.4,12,fixed_webster,7.9896,6.0,22.0,49.5,2.3277,8,1036.8,4,434
asymmetric,0.8,1022.4,13,relay,5.3732,4.5,13.5,26.5,1.503,8,1008.0,0,418
asymmetric,0.8,1022.4,13,fixed_equal,12.3624,11.5,25.0,33.5,3.489,11,1012.8,0,418
asymmetric,0.8,1022.4,13,fixed_webster,8.9199,7.0,23.5,52.5,2.494,10,1005.6,1,418
asymmetric,0.8,1022.4,14,relay,6.0474,5.5,14.5,28.0,1.834,9,1087.2,2,454
asymmetric,0.8,1022.4,14,fixed_equal,11.0969,10.5,23.5,33.5,3.3917,9,1092.0,3,454
asymmetric,0.8,1022.4,14,fixed_webster,9.3139,7.5,27.5,56.0,2.8283,10,1089.6,3,454
asymmetric,0.8,1022.4,15,relay,5.9938,6.0,14.5,22.5,1.6543,8,969.6,6,403
asymmetric,0.8,1022.4,15,fixed_equal,11.639,11.0,24.0,47.5,3.189,12,974.4,5,403
asymmetric,0.8,1022.4,15,fixed_webster,8.7779,6.5,23.5,43.0,2.4383,11,979.2,4,403
asymmetric,0.8,1022.4,16,relay,5.9943,5.5,14.0,25.0,1.7423,8,1044.0,2,436
asymmetric,0.8,1022.4,16,fixed_equal,12.0161,11.5,23.5,43.5,3.514,12,1046.4,2,436
asymmetric,0.8,1022.4,16,fixed_webster,8.7833,7.0,25.5,42.5,2.5603,9,1039.2,4,436
asymmetric,0.8,1022.4,17,relay,6.2905,6.0,15.0,27.5,1.8913,9,1075.2,3,451
asymmetric,0.8,1022.4,17,fixed_equal,12.3071,12.5,23.5,35.0,3.7113,12,1080.0,3,451
asymmetric,0.8,1022.4,17,fixed_webster,8.7783,7.0,22.5,50.0,2.6427,11,1077.6,4,451
asymmetric,0.8,1022.4,18,relay,5.6761,5.5,14.0,22.0,1.6007,7,998.4,7,423
asymmetric,0.8,1022.4,18,fixed_equal,12.1111,12.5,25.0,41.5,3.4253,11,1010.4,3,423
asymmetric,0.8,1022.4,18,fixed_webster,9.4693,7.5,27.0,40.5,2.6703,13,1000.8,6,423
asymmetric,0.8,1022.4,19,relay,5.8317,5.5,14.0,26.5,1.5827,8,974.4,2,407
asymmetric,0.8,1022.4,19,fixed_equal,10.7985,10.0,23.5,33.5,2.9513,9,976.8,2,407
asymmetric,0.8,1022.4,19,fixed_webster,8.4054,5.0,26.5,50.0,2.2953,9,976.8,2,407
asymmetric,0.8,1022.4,20,relay,5.9363,5.5,14.0,26.0,1.6523,10,1000.8,1,416
